genus	Control1	Control2	Control3	Control4	Control5	SynCom1	SynCom2	SynCom3	SynCom4	SynCom5
Stagonosporopsis	0	0	0	0	0	0	0	0	26	0
Pisolithus	15	0	0	0	0	0	0	0	0	11
Pleurostoma	0	0	26	0	0	0	0	0	0	0
Clitopilus	0	0	0	0	0	0	0	0	26	0
Xylaria	25	0	0	0	0	0	0	0	0	0
Phaeomycocentrospora	25	0	0	0	0	0	0	0	0	0
Peziza	0	0	0	25	0	0	0	0	0	0
Kurtzmaniella	0	0	0	23	0	0	0	0	2	0
Kockovaella	0	0	0	0	0	0	0	0	25	0
Remispora	0	0	0	21	0	1	2	0	0	0
Pseudopyrenochaeta	24	0	0	0	0	0	0	0	0	0
Thyronectria	23	0	0	0	0	0	0	0	0	0
Dioszegia	0	23	0	0	0	0	0	0	0	0
Stephanonectria	0	0	0	0	0	0	0	0	23	0
Piloderma	23	0	0	0	0	0	0	0	0	0
Subramaniula	0	0	0	0	0	0	0	0	23	0
Tolypocladium	0	0	0	0	0	0	0	0	23	0
Poaceascoma	0	0	0	0	0	0	0	0	23	0
Orbilia	0	0	0	0	0	0	0	0	23	0
Polyplosphaeria	0	0	0	0	0	0	0	0	23	0
Clavulina	0	0	0	0	0	0	0	0	9	14
Trichomerium	0	0	0	0	0	0	0	0	17	5
Actinomucor	0	0	0	0	0	0	0	19	3	0
Xanthocarpia	0	0	0	0	0	0	0	0	22	0
Clarireedia	0	0	0	0	0	0	0	0	0	22
Thermothielavioides	0	0	0	2	0	0	0	0	0	19
Ramariopsis	21	0	0	0	0	0	0	0	0	0
Flammulina	4	0	0	0	0	0	0	0	17	0
Bovista	0	21	0	0	0	0	0	0	0	0
Exserohilum	0	0	0	0	0	0	0	0	21	0
Stellatospora	0	0	0	0	0	0	0	0	0	21
Cylindrocladiella	0	0	0	0	0	0	0	0	0	20
Mycofalcella	20	0	0	0	0	0	0	0	0	0
Jeremyomyces	12	0	0	0	0	0	0	0	8	0
Lecythophora	0	0	0	0	0	0	0	0	20	0
Ambispora	0	0	0	0	0	0	0	0	20	0
Starmerella	0	0	0	0	0	0	0	0	20	0
Dictyosporium	19	0	0	0	0	0	0	0	0	0
Arthropsis	19	0	0	0	0	0	0	0	0	0
[Dactylaria]	19	0	0	0	0	0	0	0	0	0
Delicatula	0	0	0	0	0	0	0	0	19	0
Ascochyta	0	0	0	0	0	0	0	0	19	0
Pyrenochaeta	0	0	0	0	0	0	0	0	19	0
Oomyces	18	0	0	0	0	0	0	0	0	0
Myxozyma	18	0	0	0	0	0	0	0	0	0
Powellomyces	4	0	0	0	0	0	0	0	14	0
Gyrothrix	0	0	0	0	0	0	0	0	0	18
Phellinus	4	0	0	0	0	0	0	0	13	0
Phialocephala	0	0	0	0	0	0	0	0	17	0
Beltrania	0	0	0	16	0	0	0	0	0	0
Cyphellophora	16	0	0	0	0	0	0	0	0	0
Cadophora	0	0	0	0	0	8	0	0	0	8
Dentiscutata	0	0	0	16	0	0	0	0	0	0
Rhizomucor	0	0	0	0	0	0	16	0	0	0
Didymocyrtis	0	0	0	0	0	0	0	0	16	0
Glutinomyces	0	0	0	0	0	0	0	0	0	16
Sporidiobolus	15	0	0	0	0	0	0	0	0	0
Corynascella	0	0	0	0	0	0	0	0	0	15
Entoloma	0	0	0	0	0	0	0	0	15	0
Paludomyces	0	0	0	0	0	0	0	0	15	0
Meristemomyces	0	0	0	0	0	0	0	0	14	0
Pestalotiopsis	2	0	0	0	0	0	0	0	12	0
Pseudoacrodictys	14	0	0	0	0	0	0	0	0	0
Eremiomyces	0	0	0	0	0	0	0	0	14	0
Marasmius	0	0	0	0	0	0	0	0	14	0
Neopyrenochaeta	0	0	0	0	0	0	0	0	13	0
Bjerkandera	13	0	0	0	0	0	0	0	0	0
Kluyveromyces	0	0	0	0	13	0	0	0	0	0
Conocybe	0	12	0	0	0	0	0	0	0	0
Monosporascus	12	0	0	0	0	0	0	0	0	0
Kondoa	0	0	0	0	0	0	0	0	12	0
Pyxidiophora	0	0	0	0	0	0	0	0	11	0
Clitocybe	0	0	0	0	0	7	0	0	4	0
Gymnoascus	0	0	0	0	0	0	0	0	11	0
Calyptella	0	0	0	0	0	0	0	0	11	0
Holocotylon	0	0	0	0	0	0	0	0	11	0
Latorua	10	0	0	0	0	0	0	0	0	0
Serendipita	0	0	0	0	0	0	0	0	0	10
Geminibasidium	10	0	0	0	0	0	0	0	0	0
Cuphophyllus	0	0	0	0	0	0	0	0	10	0
Phallus	0	0	0	0	0	0	0	0	0	9
Acaulospora	9	0	0	0	0	0	0	0	0	0
Limonomyces	9	0	0	0	0	0	0	0	0	0
Myriococcum	0	0	0	0	0	0	0	0	8	0
Leptobacillium	8	0	0	0	0	0	0	0	0	0
Minimedusa	0	0	4	0	0	0	0	0	4	0
Dendrochytridium	8	0	0	0	0	0	0	0	0	0
Schizosaccharomyces	8	0	0	0	0	0	0	0	0	0
Lasiobolidium	3	0	0	0	0	0	0	0	0	5
Crinipellis	0	0	0	0	0	0	0	0	8	0
Halokirschsteiniothelia	0	0	0	0	0	0	0	0	7	0
Mallocybe	6	0	0	0	0	0	0	0	0	0
Madurella	6	0	0	0	0	0	0	0	0	0
Acaromyces	0	0	0	0	6	0	0	0	0	0
Akenomyces	0	0	0	0	0	0	0	0	0	6
Pluteus	5	0	0	0	0	0	0	0	0	0
Saccharomyces	0	0	0	0	0	0	5	0	0	0
Parasola	5	0	0	0	0	0	0	0	0	0
Schwanniomyces	5	0	0	0	0	0	0	0	0	0
Agaricus	0	0	0	0	0	5	0	0	0	0
Phaeococcomyces	4	0	0	0	0	0	0	0	0	0
Volvopluteus	4	0	0	0	0	0	0	0	0	0
Melanoleuca	0	0	0	0	0	0	0	0	0	4
Ophiobolopsis	4	0	0	0	0	0	0	0	0	0
Ogataea	4	0	0	0	0	0	0	0	0	0
Hyaloseta	0	0	0	0	0	0	0	0	4	0
Kuraishia	0	0	0	0	0	0	0	0	0	4
Pseudozyma	0	3	0	0	0	0	0	0	0	0
Blumeria	0	0	0	0	3	0	0	0	0	0
Metapochonia	0	3	0	0	0	0	0	0	0	0
Mycena	0	0	0	0	0	0	0	0	3	0
Bimuria	0	0	0	0	0	0	0	0	0	2
Phanerochaete	0	0	0	0	0	2	0	0	0	0
Letendraea	2	0	0	0	0	0	0	0	0	0
Hyalocladosporiella	0	0	0	0	0	2	0	0	0	0
Albifimbria	2	0	0	0	0	0	0	0	0	0
Iodophanus	2	0	0	0	0	0	0	0	0	0
Ustilago	2	0	0	0	0	0	0	0	0	0
Yueomyces	2	0	0	0	0	0	0	0	0	0
Kalaharituber	2	0	0	0	0	0	0	0	0	0
Meliniomyces	0	0	0	0	0	0	0	0	2	0
Spiromyces	0	0	0	0	0	0	0	0	0	2
Tubaria	0	0	0	0	0	0	0	0	0	2
Ascotaiwania	0	0	0	0	0	0	0	0	0	0
Gonatophragmium	0	0	0	0	0	0	0	0	0	0
Arthrocladium	0	0	0	0	0	0	0	0	0	0
Phaeoisaria	0	0	0	0	0	0	0	0	0	0
Endophragmiella	0	0	0	0	0	0	0	0	0	0
Serpula	0	0	0	0	0	0	0	0	0	0
Xylomyces	0	0	0	0	0	0	0	0	0	0
Didymosphaeria	0	0	0	0	0	0	0	0	0	0
Rhytidhysteron	0	0	0	0	0	0	0	0	0	0
Ganoderma	0	0	0	0	0	0	0	0	0	0
Phaeoacremonium	0	0	0	0	0	0	0	0	0	0
Xenoacremonium	0	0	0	0	0	0	0	0	0	0
unclassifie	0	0	0	0	0	0	0	0	0	0
Atractiella	0	0	0	0	0	0	0	0	0	0
Lobulomyces	0	0	0	0	0	0	0	0	0	0
Metacordyceps	0	0	0	0	0	0	0	0	0	0
Pleiocarpon	0	0	0	0	0	0	0	0	0	0
Setophoma	0	0	0	0	0	0	0	0	0	0
Taifanglania	0	0	0	0	0	0	0	0	0	0
Cyathus	0	0	0	0	0	0	0	0	0	0
Angulomyces	0	0	0	0	0	0	0	0	0	0
Neocucurbitaria	0	0	0	0	0	0	0	0	0	0
Corynespora	0	0	0	0	0	0	0	0	0	0
Xenomyrothecium	0	0	0	0	0	0	0	0	0	0
Entrophospora	0	0	0	0	0	0	0	0	0	0
Discosia	0	0	0	0	0	0	0	0	0	0
Calonectria	0	0	0	0	0	0	0	0	0	0
Aschersonia	0	0	0	0	0	0	0	0	0	0
Elsinoe	0	0	0	0	0	0	0	0	0	0
Fuscoporia	0	0	0	0	0	0	0	0	0	0
Oberwinklerozyma	0	0	0	0	0	0	0	0	0	0
Wickerhamiella	0	0	0	0	0	0	0	0	0	0
Lasionectria	0	0	0	0	0	0	0	0	0	0
Agrocybe	0	0	0	0	0	0	0	0	0	0
Ovatospora	0	0	0	0	0	0	0	0	0	0
Tricladium	0	0	0	0	0	0	0	0	0	0
Betamyces	0	0	0	0	0	0	0	0	0	0
Moesziomyces	0	0	0	0	0	0	0	0	0	0
Lithohypha	0	0	0	0	0	0	0	0	0	0
Trichophaeopsis	0	0	0	0	0	0	0	0	0	0
