genus	Control1	Control2	Control3	Control4	Control5	SynCom1	SynCom2	SynCom3	SynCom4	SynCom5
Remersonia	0	0	0	0	0	0	13	0	0	0
Pseudoophiobolus	0	0	0	0	0	0	13	0	0	0
Polyplosphaeria	0	0	0	0	0	0	13	0	0	0
Hirsutella	0	0	0	0	0	0	12	0	0	0
Kluyveromyces	0	0	0	0	0	0	12	0	0	0
Parastagonospora	0	0	0	0	0	0	12	0	0	0
Aaosphaeria	0	0	0	0	0	0	12	0	0	0
Nematoctonus	0	0	0	0	3	8	0	0	0	0
Dactylella	0	0	0	0	0	0	11	0	0	0
Thyrostroma	0	0	0	0	0	10	0	0	0	0
Deconica	0	0	0	0	0	0	10	0	0	0
Spiromyces	0	0	0	0	0	0	0	0	0	10
Limonomyces	0	0	0	0	0	0	9	0	0	0
Neostrelitziana	0	0	0	0	0	0	9	0	0	0
Bannoa	0	0	0	0	0	0	9	0	0	0
Athelopsis	0	0	0	0	0	0	0	0	9	0
Hymenula	0	0	0	0	0	0	8	0	0	0
Podosphaera	0	0	0	0	0	0	7	0	0	0
