genus	Control1	Control2	Control3	Control4	Control5	SynCom1	SynCom2	SynCom3	SynCom4	SynCom5
Trichophaeopsis	37	0	0	0	0	0	0	0	0	0
Septoglomus	37	0	0	0	0	0	0	0	0	0
Keissleriella	0	0	0	0	0	0	0	37	0	0
Roussoella	0	0	0	5	0	0	0	0	31	0
Acaulospora	0	36	0	0	0	0	0	0	0	0
Tremella	0	0	0	0	36	0	0	0	0	0
Marasmiellus	17	0	2	1	10	5	0	0	0	0
Paraphoma	0	0	6	0	0	0	0	29	0	0
Diversispora	0	0	0	0	0	0	0	0	0	35
Leptobacillium	0	0	0	0	35	0	0	0	0	0
Fomitiporia	0	0	0	0	0	0	0	0	0	35
Ophiocordyceps	0	0	0	34	0	0	0	0	0	0
Triangularia	0	31	2	0	0	0	0	0	0	0
Tetrapyrgos	0	33	0	0	0	0	0	0	0	0
Syncephalis	0	0	0	0	0	0	0	0	32	0
Acaulium	13	0	19	0	0	0	0	0	0	0
Murispora	0	0	0	0	0	0	32	0	0	0
Minutisphaera	0	0	0	0	0	0	0	0	0	32
Knufia	0	0	0	0	0	5	0	26	0	0
Glomus	0	0	0	18	0	0	0	0	0	13
Xylaria	0	0	0	31	0	0	0	0	0	0
Pestalotiopsis	23	0	0	2	0	0	5	0	0	0
Phanerochaete	0	0	0	12	0	0	0	0	18	0
Sirastachys	0	30	0	0	0	0	0	0	0	0
Echria	0	0	30	0	0	0	0	0	0	0
Elaphomyces	0	0	0	0	30	0	0	0	0	0
Hyaloscypha	0	0	0	0	0	0	0	0	0	30
Entoloma	0	0	0	0	0	0	0	29	0	0
Paraglomus	0	0	0	28	0	0	0	0	0	0
Conlarium	1	19	0	0	0	0	0	0	8	0
Saccharomyces	0	2	0	0	0	0	0	4	22	0
Cetraspora	0	0	0	28	0	0	0	0	0	0
Bipolaris	0	0	27	0	0	0	0	0	0	0
Phlebia	0	0	0	0	0	0	0	27	0	0
Trametes	0	0	3	23	0	0	0	0	0	0
Teunomyces	0	0	0	0	0	26	0	0	0	0
Monodictys	0	0	26	0	0	0	0	0	0	0
Thyronectria	0	0	0	0	0	0	0	0	26	0
Pseudorobillarda	0	0	0	0	26	0	0	0	0	0
Chaetopsina	0	0	0	0	0	0	0	0	0	26
Laburnicola	25	0	0	0	0	0	0	0	0	0
Setophaeosphaeria	0	0	21	4	0	0	0	0	0	0
Volvariella	0	0	0	0	0	0	0	25	0	0
Mrakia	0	0	24	0	0	0	0	0	0	0
Symmetrospora	0	0	0	10	0	14	0	0	0	0
Buckleyzyma	0	0	0	0	0	0	0	24	0	0
Stagonospora	0	0	0	0	0	0	0	0	0	24
Dioszegia	0	24	0	0	0	0	0	0	0	0
Leucoagaricus	0	0	0	0	22	0	2	0	0	0
Ascotricha	0	0	0	0	0	0	0	0	0	23
Metschnikowia	0	0	23	0	0	0	0	0	0	0
Neocamarosporium	0	0	4	0	18	0	0	0	0	0
Stephanonectria	0	0	0	0	0	0	22	0	0	0
Elasticomyces	0	0	0	0	0	22	0	0	0	0
Thelonectria	0	0	6	15	0	0	0	0	0	0
Letendraea	0	0	0	0	0	0	0	21	0	0
Sporisorium	5	3	0	0	0	9	0	4	0	0
Pezoloma	0	0	21	0	0	0	0	0	0	0
Neodidymella	0	0	21	0	0	0	0	0	0	0
Lentinus	0	0	0	0	0	0	0	0	0	21
Monocillium	0	0	20	0	0	0	0	0	0	0
Rectifusarium	0	0	20	0	0	0	0	0	0	0
Sclerostagonospora	0	0	0	0	0	0	0	20	0	0
Leptosphaeria	0	0	14	0	0	5	0	0	0	0
Ophiosphaerella	0	0	10	0	0	0	0	0	0	9
Parasola	0	0	0	0	19	0	0	0	0	0
Pseudophialophora	19	0	0	0	0	0	0	0	0	0
Microthecium	0	0	17	0	0	2	0	0	0	0
Leptospora	0	0	5	0	0	0	0	14	0	0
Acrophialophora	0	0	18	0	0	0	0	0	0	0
Rhizophlyctis	0	0	2	0	16	0	0	0	0	0
Pseudocoleophoma	0	0	18	0	0	0	0	0	0	0
Distoseptispora	0	0	0	18	0	0	0	0	0	0
Deniquelata	0	0	0	0	0	0	0	0	18	0
Derxomyces	0	0	0	0	0	0	0	0	0	18
Leucosporidium	0	0	0	11	0	0	0	6	0	0
Kregervanrija	0	0	17	0	0	0	0	0	0	0
Chrysosporium	0	0	0	17	0	0	0	0	0	0
Porostereum	0	0	0	0	0	0	17	0	0	0
Dactylella	0	0	0	0	0	0	0	0	0	17
Neomicrosphaeropsis	0	0	16	0	0	0	0	0	0	0
Trechispora	0	0	0	0	16	0	0	0	0	0
Boothiomyces	0	0	16	0	0	0	0	0	0	0
Neoascochyta	0	0	0	0	0	0	16	0	0	0
Pezicula	0	0	16	0	0	0	0	0	0	0
Peroneutypa	0	0	16	0	0	0	0	0	0	0
Lophiotrema	0	0	16	0	0	0	0	0	0	0
Polyporus	0	0	0	0	0	0	16	0	0	0
Collariella	0	0	9	0	0	6	0	0	0	0
Chaetomidium	0	0	14	0	0	0	0	0	0	0
Remispora	2	0	0	0	0	6	1	2	3	0
Pseudoascochyta	0	0	14	0	0	0	0	0	0	0
Lycoperdon	0	0	2	0	0	0	0	0	12	0
Gliomastix	0	0	0	0	0	0	14	0	0	0
Ramularia	0	0	0	0	0	13	0	0	0	0
Monographella	0	0	13	0	0	0	0	0	0	0
Coprinellus	0	0	0	0	0	0	13	0	0	0
Coprotus	0	0	0	0	0	0	13	0	0	0
Gliophorus	0	0	13	0	0	0	0	0	0	0
Ochroconis	0	0	0	13	0	0	0	0	0	0
Sporobolomyces	0	0	0	0	0	0	13	0	0	0
Phomatospora	0	0	12	0	0	0	0	0	0	0
Hawksworthiomyces	0	0	12	0	0	0	0	0	0	0
Hirsutella	0	0	0	12	0	0	0	0	0	0
Bulleribasidium	0	0	12	0	0	0	0	0	0	0
Thermothielavioides	0	0	0	0	0	0	0	0	12	0
Udeniozyma	0	0	12	0	0	0	0	0	0	0
Penidiella	0	0	0	12	0	0	0	0	0	0
Paraconiothyrium	0	0	0	11	0	0	0	0	0	0
Ijuhya	0	0	11	0	0	0	0	0	0	0
Stemphylium	0	0	10	0	0	0	0	0	0	0
Fusariella	0	0	10	0	0	0	0	0	0	0
Microsporum	0	0	0	0	0	0	10	0	0	0
Hyalocladosporiella	0	0	0	10	0	0	0	0	0	0
Hemileucoglossum	0	0	10	0	0	0	0	0	0	0
Coniothyrium	0	0	10	0	0	0	0	0	0	0
Volutella	0	0	0	0	0	0	10	0	0	0
Clavaria	0	0	9	0	0	0	0	0	0	0
Apodus	0	0	9	0	0	0	0	0	0	0
Dentiscutata	0	0	0	9	0	0	0	0	0	0
Pseudodactylaria	0	0	9	0	0	0	0	0	0	0
Pleotrichocladium	0	0	9	0	0	0	0	0	0	0
Diploospora	0	0	9	0	0	0	0	0	0	0
Ceratocystis	0	0	0	0	0	0	9	0	0	0
Xylogone	0	0	8	0	0	0	0	0	0	0
Paecilomyces	0	0	0	0	8	0	0	0	0	0
Sterigmatomyces	8	0	0	0	0	0	0	0	0	0
Malassezia	0	8	0	0	0	0	0	0	0	0
Disciseda	0	0	0	0	8	0	0	0	0	0
Monascus	0	0	8	0	0	0	0	0	0	0
Thanatephorus	0	0	8	0	0	0	0	0	0	0
Rhizomucor	0	0	8	0	0	0	0	0	0	0
Pseudozyma	0	0	0	0	0	0	0	3	0	5
Blumeria	0	0	0	0	8	0	0	0	0	0
Basidiobolus	0	0	8	0	0	0	0	0	0	0
Trichophyton	0	0	8	0	0	0	0	0	0	0
Neomassarina	0	0	8	0	0	0	0	0	0	0
Polyschema	0	0	8	0	0	0	0	0	0	0
