genus	Control1	Control2	Control3	Control4	Control5	SynCom1	SynCom2	SynCom3	SynCom4	SynCom5
Amaricoccus	0	0	26	0	0	0	0	0	11	0
Sporomusa	0	0	5	2	0	3	11	0	14	2
Propionivibrio	0	0	0	0	0	0	13	24	0	0
Syntrophus	0	0	0	0	0	0	0	37	0	0
Candidatus_Paracaedibacter	0	7	0	7	0	6	3	7	3	3
Syntrophobacter	0	0	0	0	0	26	2	8	0	0
Nakamurella	7	2	2	0	0	12	0	0	12	0
Solitalea	0	0	34	0	0	0	0	0	0	0
Candidatus_Chloroploca	0	3	15	0	8	0	0	0	8	0
Azovibrio	0	0	24	0	0	6	4	0	0	0
Marmoricola	11	14	0	0	9	0	0	0	0	0
Clostridium_sensu_stricto_10	0	0	0	0	0	2	0	19	0	12
Rhodovastum	0	0	0	0	0	0	19	14	0	0
Desulfobacca	0	0	0	0	0	0	0	33	0	0
Rahnella1	0	9	0	0	23	0	0	0	0	0
Litorilinea	6	1	9	4	3	0	5	0	4	0
Croceicoccus	13	0	0	0	0	19	0	0	0	0
Alkanibacter	2	3	3	11	2	0	4	3	0	3
Methylobacterium_Methylorubrum	0	4	2	4	0	10	0	11	0	0
Emticicia	0	0	20	0	0	4	0	0	0	7
Chitinophaga	6	0	4	0	3	7	0	4	0	6
Actinoplanes	30	0	0	0	0	0	0	0	0	0
Rhizorhapis	0	0	14	0	0	0	0	0	0	16
Oligoflexus	4	0	7	3	9	2	0	0	0	4
Truepera	3	0	9	3	10	0	0	4	0	0
WCHB1_32	0	0	0	0	0	5	0	24	0	0
Chloronema	3	2	0	3	6	0	0	2	8	4
Roseisolibacter	0	9	7	3	0	0	0	0	6	3
Solirubrobacter	6	2	7	0	2	3	8	0	0	0
Paucimonas	4	0	24	0	0	0	0	0	0	0
Rhodomicrobium	0	0	0	0	8	4	0	16	0	0
Actinospica	0	16	0	6	5	0	0	0	0	0
Rubrobacter	0	0	7	0	5	2	0	10	2	0
Cellvibrio	2	0	9	0	2	3	4	0	6	0
Actinoallomurus	0	7	4	0	0	15	0	0	0	0
Spirochaeta_2	1	0	4	2	2	0	0	2	0	14
Brevundimonas	0	0	9	0	0	0	0	3	0	13
Methylobacillus	0	0	0	0	0	0	0	25	0	0
Panacagrimonas	0	0	5	2	8	2	7	0	0	0
Microseira_Carmichael_Alabama	0	2	16	0	0	0	0	0	0	6
BSV13	0	0	0	0	0	2	0	22	0	0
Ancalomicrobium	0	0	0	0	0	2	21	0	0	0
bacterium_Ellin7530	0	5	0	0	0	18	0	0	0	0
UTCFX1	10	0	8	0	0	0	4	0	0	0
Anaerocolumna	0	0	0	0	0	0	13	0	0	9
Scytonema_PCC_7110	0	0	21	0	0	0	0	0	0	0
Ellin517	2	0	0	6	2	0	0	5	6	0
Stella	0	0	2	0	0	0	0	19	0	0
Bifidobacterium	0	0	0	2	0	2	0	17	0	0
Thermincola	0	0	1	0	0	2	0	15	0	3
Halococcus	0	18	0	0	0	3	0	0	0	0
HAVOmat113	0	0	0	0	14	0	0	0	0	6
Holophaga	0	0	0	0	0	16	0	4	0	0
Streptococcus	0	0	3	0	0	0	0	17	0	0
Nonomuraea	0	0	0	0	0	16	0	0	4	0
