genus	Control1	Control2	Control3	Control4	Control5	SynCom1	SynCom2	SynCom3	SynCom4	SynCom5
Marvinbryantia	0	85	94	77	0	12	0	98	0	0
Cutibacterium	60	54	55	11	46	8	0	111	3	17
[Eubacterium]_eligens_group	0	0	80	81	0	0	0	124	0	75
Fluviicola	0	44	0	31	0	21	79	114	4	66
Azoarcus	10	180	7	0	0	112	13	0	36	0
Porphyromonas	0	0	79	0	207	32	0	0	0	38
Agromyces	22	122	0	19	0	49	45	28	59	10
Brevibacillus	12	122	0	0	0	37	50	51	80	0
Rhodoblastus	0	0	0	0	0	59	115	0	94	82
Sedimentibacter	21	0	61	0	106	0	3	100	0	57
[Ruminococcus]_torques_group	16	0	230	0	0	0	9	0	0	88
Clostridium_sensu_stricto_12	56	0	0	46	0	56	111	0	32	40
Desulfobacca	10	155	58	0	0	52	0	0	62	0
Dialister	0	151	0	84	97	0	0	0	0	0
Dyadobacter	6	26	14	74	200	2	7	2	0	0
Pseudoduganella	0	114	20	0	70	0	85	0	0	39
Mitsuaria	115	0	133	0	0	0	19	0	0	56
Nannocystis	0	0	0	0	0	57	107	0	106	52
Blvii28_wastewater_sludge_group	0	63	30	0	0	25	0	130	0	73
Flavitalea	85	100	78	3	0	4	10	0	32	0
Dechloromonas	0	0	45	0	0	253	9	0	5	0
Syntrophomonas	0	0	78	106	85	17	0	0	19	0
Clostridium_sensu_stricto_10	16	96	0	0	0	44	18	129	0	0
Solirubrobacter	42	14	0	0	14	52	8	126	46	0
IS_44	34	0	0	0	0	15	52	0	18	179
Rikenella	10	170	0	0	0	117	0	0	1	0
Sandaracinus	10	0	117	41	0	62	4	0	9	55
Duganella	0	91	0	0	0	26	174	0	0	0
Polaromonas	18	0	0	0	0	89	0	0	45	138
Candidatus_Arthromitus	0	20	19	43	11	0	0	51	50	96
bacterium_Ellin6517	0	94	0	137	0	0	42	0	13	0
Clostridium_sensu_stricto_9	0	0	0	0	254	0	8	0	12	0
Peptococcus	0	0	0	59	41	7	0	0	4	160
Alicycliphilus	10	0	61	0	102	12	0	0	0	85
Tyzzerella	0	73	85	89	0	0	13	0	10	0
Thauera	3	54	65	56	0	0	0	89	0	0
Anaerobiospirillum	0	0	267	0	0	0	0	0	0	0
Cohnella	23	0	0	155	0	3	0	0	4	77
Coriobacteriaceae_UCG_002	0	0	48	12	43	15	6	86	14	38
Brevinema	0	0	0	0	234	0	0	0	25	0
Candidatus_Udaeobacter	0	28	86	16	86	9	0	0	6	25
Sediminibacterium	7	0	90	0	138	13	0	0	4	0
Bordetella	4	0	0	0	0	0	18	158	9	63
Pantoea	91	0	50	0	67	0	0	0	23	13
Unassigned	27	21	38	62	4	16	36	21	9	7
Negativibacillus	0	0	87	0	0	145	6	0	0	0
Catenisphaera	15	0	0	0	222	0	0	0	0	0
Macellibacteroides	0	30	0	0	23	0	0	0	0	184
Solobacterium	15	0	0	78	138	0	0	0	0	0
Rhizorhapis	30	166	0	0	0	15	0	0	18	0
Neisseria	0	4	76	128	0	21	0	0	0	0
Dysgonomonas	0	51	0	176	0	0	0	0	0	0
Weissella	15	51	31	0	0	79	0	0	49	0
Microbacterium	0	0	0	0	0	74	12	137	0	0
Frisingicoccus	0	0	0	0	222	0	0	0	0	0
Fusobacterium	17	0	0	0	0	0	0	181	19	2
Paracoccus	0	0	69	44	0	0	2	66	38	0
mle1_7	22	117	0	10	0	8	33	0	26	0
Imtechella	0	0	0	103	77	36	0	0	0	0
Vogesella	0	140	0	0	0	75	0	0	0	0
Defluviitoga	0	9	29	46	27	0	3	86	0	15
Prevotellaceae_UCG_003	33	0	0	0	0	0	0	133	0	47
Clostridium_sensu_stricto_13	0	0	0	0	120	0	0	90	0	0
BD1_7_clade	7	0	0	11	0	21	38	40	39	53
Longivirga	0	0	0	0	0	17	95	0	92	5
Delftia	11	0	0	42	138	9	0	0	6	0
Luedemannella	15	0	93	78	0	14	0	0	5	0
Lactococcus	0	103	0	0	65	37	0	0	0	0
Prevotella	0	81	0	59	14	0	0	0	5	46
Curvibacter	17	0	0	0	40	0	0	144	0	0
Clostridium_sensu_stricto_2	0	0	0	67	112	0	22	0	0	0
Maricaulis	0	0	0	0	181	17	0	0	0	0
Citrifermentans	0	0	0	0	155	10	31	0	0	0
GOUTA6	8	82	0	0	105	0	0	0	0	0
Campylobacter	0	0	94	0	0	34	0	0	0	66
Porphyrobacter	0	0	0	0	0	0	0	0	0	192
Photobacterium	0	0	0	0	112	0	0	0	0	78
I_8	0	188	0	0	0	0	0	0	0	0
Marmoricola	32	61	0	0	0	19	26	0	0	47
Chryseobacterium	17	0	0	80	79	9	0	0	0	0
Hydrogenophaga	0	0	64	34	45	27	0	0	15	0
CL500_3	0	37	0	0	0	37	5	97	7	0
Atopostipes	0	0	152	0	0	0	8	0	22	0
Olsenella	16	21	0	23	0	0	0	114	7	0
Planktosalinus	23	157	0	0	0	0	0	0	0	0
Candidatus_Berkiella	25	0	0	0	0	33	35	0	87	0
Oligoflexus	10	0	71	82	0	17	0	0	0	0
HN_HF0106	0	0	0	82	98	0	0	0	0	0
Hamadaea	9	0	0	0	0	10	21	139	0	0
Thermomonas	0	71	0	0	0	69	10	0	25	0
Halobacillus	0	0	174	0	0	0	0	0	0	0
Robinsoniella	0	0	78	0	0	0	12	0	0	83
Actinomyces	19	128	23	0	0	0	2	0	0	0
Phreatobacter	0	0	0	31	119	6	4	12	0	0
Amycolatopsis	41	0	0	0	0	111	8	0	11	0
Oceanobacillus	22	0	148	0	0	0	0	0	0	0
Polycyclovorans	7	0	0	79	0	0	19	0	64	0
Rhizobacter	28	0	68	34	0	15	20	0	0	0
Pseudoflavitalea	18	0	0	0	0	0	99	0	18	30
Polyangium	0	0	50	0	0	0	38	50	26	0
Anaerovorax	0	105	0	0	0	34	0	0	18	0
Fibrobacter	0	0	49	0	108	0	0	0	0	0
UCG_009	0	0	0	73	77	7	0	0	0	0
Actinophytocola	139	0	0	17	0	0	0	0	0	0
Nakamurella	26	0	0	0	0	67	20	0	18	25
Thermobifida	0	153	0	0	0	3	0	0	0	0
Herbinix	0	68	0	88	0	0	0	0	0	0
Lysinibacillus	0	0	0	0	0	16	0	93	13	34
Tabrizicola	0	0	0	128	0	24	3	0	0	0
Coprobacillus	0	69	0	82	0	0	0	0	0	0
Lentimicrobium	0	0	150	0	0	0	0	0	0	0
Frateuria	0	0	0	0	150	0	0	0	0	0
Crossiella	0	0	0	0	111	22	0	0	17	0
Snodgrassella	15	0	134	0	0	0	0	0	0	0
Limnobacter	7	0	0	0	0	0	0	106	36	0
FCPS473	0	0	0	0	0	0	0	149	0	0
Pseudahrensia	0	0	0	0	146	0	0	0	0	0
Enhydrobacter	37	0	108	0	0	0	0	0	0	0
Edaphobaculum	23	0	5	19	0	28	33	0	0	37
Catenibacterium	16	75	0	53	0	0	0	0	0	0
Lachnospiraceae_AC2044_group	0	0	0	0	128	0	0	0	16	0
Shinella	0	0	0	140	0	0	0	0	0	0
Solitalea	0	0	139	0	0	0	0	0	0	0
JTB255_marine_benthic_group	0	0	0	0	0	0	3	0	0	136
[Eubacterium]_ventriosum_group	0	0	0	0	0	0	0	139	0	0
Thermoflexus	0	0	0	0	0	0	0	139	0	0
Brevibacterium	0	3	0	0	134	0	0	0	0	0
UBA1819	12	72	0	0	0	0	0	38	12	0
MM1	0	0	0	0	0	0	0	134	0	0
Proteiniphilum	16	102	0	0	0	5	10	0	0	0
Syntrophorhabdus	0	56	0	0	0	0	0	0	0	76
Lacibacter	0	0	0	60	0	16	24	14	18	0
Syntrophobacter	0	0	0	0	0	0	0	97	34	0
Alkanibacter	31	0	73	0	0	0	0	0	25	0
Brooklawnia	0	0	0	0	0	0	0	129	0	0
Ahniella	10	0	49	31	0	13	0	0	24	0
Pseudarcobacter	0	0	0	10	116	0	0	0	0	0
Meniscus	0	0	0	0	126	0	0	0	0	0
[Eubacterium]_ruminantium_group	0	0	0	0	0	0	0	126	0	0
Curtobacterium	0	0	115	0	0	10	0	0	0	0
Rosenbergiella	0	0	0	0	0	0	0	125	0	0
Epulopiscium	0	0	0	0	0	0	0	117	8	0
Moheibacter	16	0	0	0	0	13	0	93	0	0
Inquilinus	52	0	0	9	0	4	7	0	0	49
Erysipelotrichaceae_UCG_003	0	0	0	0	0	0	0	121	0	0
Sideroxydans	0	0	0	0	15	16	0	89	0	0
Bacteroidetes_bacterium_OLB10	45	0	74	0	0	0	0	0	0	0
Psychroglaciecola	0	0	0	0	119	0	0	0	0	0
Aquabacterium	0	0	0	0	0	0	9	54	0	56
alphaI_cluster	35	0	0	0	0	25	0	0	14	44
Caenimonas	0	24	0	55	0	39	0	0	0	0
Psychrobacter	0	67	0	48	0	0	0	2	0	0
Lachnospiraceae_UCG_001	0	0	60	0	0	0	4	0	16	36
OLB13	0	17	4	37	57	0	0	0	0	0
Ulvibacter	0	0	67	0	48	0	0	0	0	0
DSSD61	0	0	0	0	0	0	6	0	12	97
agricultural_soil_bacterium_SC_I_84	0	0	0	0	0	0	0	99	15	0
Minicystis	49	6	23	0	0	22	6	0	7	0
Pontibacter	3	0	89	6	0	3	4	0	6	0
