genus	Control1	Control2	Control3	Control4	Control5	SynCom1	SynCom2	SynCom3	SynCom4	SynCom5
Ellin517	9	12	8	6	0	0	7	0	0	4
Geobacter	0	5	0	6	6	10	4	0	4	10
Rubrobacter	13	8	2	2	0	0	0	0	3	17
Solitalea	0	0	44	0	0	0	0	0	0	0
Achromobacter	23	17	0	0	2	0	0	2	0	0
Chthonobacter	0	0	0	0	0	17	27	0	0	0
Candidatus_Chloroploca	0	2	18	2	0	9	7	0	0	5
Solimonas	10	0	0	0	16	12	4	0	0	0
Azovibrio	0	0	33	0	0	9	0	0	0	0
Solirubrobacter	29	4	6	3	0	0	0	0	0	0
Comamonas	0	20	0	21	0	0	0	0	0	0
Inquilinus	5	0	5	9	0	10	10	2	0	0
DEV114	0	0	17	9	7	0	8	0	0	0
Oligoflexus	6	3	3	9	0	8	9	0	2	0
Brevundimonas	12	0	12	0	0	0	0	0	10	6
Chthoniobacter	3	4	2	0	13	5	4	0	0	8
Caenimonas	0	0	0	15	0	10	13	0	0	0
Thermosporothrix	7	0	3	14	0	0	4	0	0	9
MBIC10086	0	24	0	0	3	8	0	0	1	0
Desulfovibrio	0	0	0	0	4	15	3	0	0	13
Fluviicola	0	0	21	0	3	4	4	0	0	3
Kouleothrix	35	0	0	0	0	0	0	0	0	0
UCG_005	11	4	0	5	3	5	3	2	2	0
Thermomonas	0	0	0	0	0	0	8	8	0	18
Magnetospirillum	0	0	0	0	4	30	0	0	0	0
OM60_NOR5__clade	0	0	3	3	0	10	14	0	4	0
HAVOmat113	0	0	0	10	0	14	0	0	0	8
bacterium_Ellin6517	26	0	0	0	2	0	0	0	2	2
Kitasatospora	22	0	0	0	9	0	0	0	0	0
Bordetella	0	0	8	0	0	0	0	0	0	23
Rhizobacter	0	6	0	0	25	0	0	0	0	0
Bacteriovorax	4	4	0	6	6	5	5	0	0	0
Litorilinea	3	3	0	0	4	2	16	0	2	0
Panacagrimonas	5	5	0	0	7	0	5	0	2	6
Azohydromonas	0	0	29	0	0	0	0	0	0	0
Arthrobacter	0	0	0	0	11	0	10	8	0	0
Pseudarthrobacter	0	0	0	0	0	0	0	0	0	29
Occallatibacter	0	13	0	0	0	0	0	0	16	0
Vulgatibacter	0	0	0	0	0	14	10	0	5	0
Pedosphaera	21	0	0	0	0	0	0	0	0	8
Defluviimonas	0	0	29	0	0	0	0	0	0	0
Dechloromonas	0	21	6	0	0	0	0	0	0	0
Asticcacaulis	0	0	5	2	0	10	0	0	0	10
Oscillochloris	0	2	0	0	3	15	2	0	5	0
Plasticicumulans	0	0	25	0	0	2	0	0	0	0
Halomicrobium	0	2	0	0	0	3	0	0	18	4
Stella	0	0	0	0	0	0	26	0	0	0
Pseudoflavitalea	0	0	15	0	0	0	0	0	0	10
Ferrovibrio	4	0	0	0	0	11	0	0	8	2
Halorubrum	0	2	0	0	0	3	3	4	13	0
